001 - 6.25, 8.25, 2.25, 13.75, 14.75, 26.75, 11.75, 8.75, 5.25, 14.75
002 - 6.5, 8.5, 11.0, 14.0, 15.0, 18.5, 12.0, 9.0, 14.0, 6.5
003 - 11.0, 13.0, 7.0, 10.0, 19.5, 23.0, 8.0, 5.0, 10.0, 11.0
004 - 14.0, 15.25, 10.0, 13.0, 21.75, 26.0, 10.25, 7.25, 13.0, 13.25
005 - 13.75, 17.25, 9.75, 12.75, 23.75, 27.25, 12.25, 7.75, 12.75, 15.25
006 - 12.0, 9.5, 8.0, 11.0, 16.0, 19.5, 4.5, 6.0, 11.0, 7.5
007 - 11.5, 13.5, 7.5, 10.5, 20.0, 23.5, 8.5, 5.5, 10.5, 11.5
008 - 12.25, 8.75, 2.75, 11.25, 20.75, 18.75, 3.75, 6.25, 11.25, 6.75
009 - 6.75, 8.75, 2.75, 5.75, 15.25, 18.75, 3.75, 0.75, 5.75, 6.75
010 - 13.25, 15.25, 9.25, 12.25, 21.75, 25.25, 10.25, 7.25, 12.25, 13.25
011 - 12.25, 14.25, 7.5, 11.25, 20.0, 24.25, 9.25, 5.5, 10.5, 11.5
012 - 8.0, 10.5, 4.0, 7.5, 16.5, 20.5, 5.0, 2.5, 7.5, 8.0
013 - 6.75, 13.5, 7.5, 5.75, 15.25, 23.5, 8.5, 0.75, 10.5, 6.75
014 - 8.0, 16.5, 10.5, 7.0, 16.5, 20.0, 11.5, 8.5, 13.5, 8.0
015 - 9.25, 11.25, 5.75, 8.25, 18.25, 21.75, 6.75, 3.75, 8.25, 9.25
016 - 8.0, 10.0, 4.0, 7.0, 16.5, 27.75, 12.75, 9.75, 14.75, 15.75
017 - 15.0, 17.75, 11.75, 14.75, 23.5, 27.75, 12.0, 9.75, 14.0, 15.0
018 - 8.5, 10.5, 4.5, 7.5, 19.75, 20.5, 8.25, 5.25, 10.25, 11.25
019 - 7.0, 10.75, 3.0, 6.0, 15.5, 20.75, 5.75, 1.0, 7.75, 8.75
020 - 15.5, 17.5, 10.5, 14.5, 24.0, 26.5, 11.5, 8.5, 13.5, 15.5
021 - 11.25, 13.25, 3.5, 6.5, 16.0, 19.5, 8.25, 5.25, 10.25, 7.5
022 - 6.0, 14.25, 8.25, 5.0, 20.75, 18.0, 3.0, 6.25, 11.25, 6.0
023 - 10.0, 10.25, 6.0, 9.0, 16.75, 20.25, 5.25, 4.0, 9.0, 8.25
024 - 11.75, 13.75, 10.0, 13.0, 20.25, 26.0, 8.75, 8.0, 13.0, 11.75
025 - 13.75, 15.75, 2.0, 5.0, 14.5, 18.0, 10.75, 7.75, 12.75, 6.0
026 - 14.25, 16.25, 3.75, 6.75, 22.75, 19.75, 4.75, 8.25, 13.25, 7.75
027 - 9.5, 11.5, 4.0, 8.5, 18.0, 20.0, 5.0, 2.0, 7.0, 9.5
028 - 13.0, 15.0, 9.0, 13.5, 23.0, 26.5, 11.5, 7.0, 12.0, 14.5
029 - 7.75, 9.75, 3.75, 6.75, 16.25, 26.75, 11.75, 8.75, 13.75, 14.75
030 - 15.25, 15.0, 9.0, 12.0, 23.75, 25.0, 12.25, 9.25, 14.25, 13.0
031 - 8.75, 12.75, 4.75, 9.75, 19.25, 20.75, 7.75, 2.75, 9.75, 8.75
032 - 11.75, 9.25, 7.75, 10.75, 20.25, 19.25, 4.25, 5.75, 6.25, 7.25
033 - 7.25, 15.75, 3.25, 6.25, 15.75, 25.75, 10.75, 7.75, 12.75, 7.25
034 - 11.0, 11.25, 5.25, 10.0, 19.5, 23.0, 6.25, 3.25, 8.25, 11.0
035 - 7.75, 14.0, 8.0, 11.0, 20.5, 24.0, 4.75, 1.75, 6.75, 7.75
036 - 10.75, 12.75, 6.75, 9.75, 24.5, 28.0, 13.0, 10.0, 15.0, 10.75
037 - 11.25, 13.25, 7.25, 6.75, 16.25, 23.25, 4.75, 1.75, 10.25, 7.75
038 - 11.5, 16.25, 7.5, 13.25, 22.75, 23.5, 8.5, 8.25, 10.5, 14.25
039 - 13.75, 15.75, 9.75, 6.0, 22.25, 19.0, 4.0, 1.0, 12.75, 7.0
040 - 15.25, 8.0, 11.25, 14.25, 14.5, 18.0, 12.25, 0.0, 5.0, 15.25
041 - 16.0, 9.75, 3.75, 15.0, 16.25, 19.75, 13.0, 10.0, 6.75, 16.0
042 - 6.25, 10.75, 2.25, 7.75, 17.25, 18.25, 5.75, 2.75, 5.25, 6.25
043 - 11.5, 13.5, 7.5, 10.5, 20.0, 23.5, 8.5, 5.5, 10.5, 11.5
044 - 6.75, 8.75, 10.0, 5.75, 22.5, 26.0, 3.75, 8.0, 13.0, 6.75
045 - 13.5, 15.5, 2.75, 12.5, 22.0, 18.75, 3.75, 0.75, 12.5, 6.75
046 - 15.0, 17.25, 11.0, 14.0, 23.75, 27.25, 12.0, 9.25, 14.25, 15.0
047 - 7.25, 9.25, 6.5, 9.5, 19.0, 22.5, 7.5, 1.25, 6.25, 7.25
048 - 7.5, 9.5, 11.5, 14.5, 16.0, 19.5, 12.5, 9.5, 6.5, 15.5
049 - 15.25, 10.0, 11.25, 14.25, 16.5, 27.25, 5.0, 9.25, 7.0, 8.0
050 - 9.5, 14.0, 5.5, 8.5, 20.5, 24.0, 6.5, 6.0, 11.0, 9.5
051 - 9.5, 8.25, 2.25, 5.25, 14.75, 21.5, 6.5, 3.5, 5.25, 9.5
052 - 9.25, 11.25, 3.25, 6.25, 17.75, 21.25, 4.25, 1.25, 8.25, 7.25
053 - 10.25, 14.0, 6.25, 11.0, 18.75, 24.0, 7.25, 4.25, 11.0, 12.0
054 - 8.25, 10.25, 4.25, 7.25, 16.75, 20.25, 5.25, 2.25, 7.25, 8.25
055 - 11.0, 13.0, 7.0, 11.0, 20.5, 24.0, 9.0, 5.0, 10.0, 12.0
056 - 9.25, 11.25, 5.25, 8.25, 17.75, 21.25, 6.25, 3.25, 8.25, 9.25
057 - 10.75, 12.75, 9.5, 12.5, 22.0, 25.5, 7.75, 7.5, 9.75, 10.75
058 - 9.5, 16.0, 5.5, 13.0, 18.0, 26.0, 6.5, 3.5, 13.0, 14.0
059 - 7.0, 9.0, 3.0, 6.0, 15.5, 19.0, 4.0, 1.0, 6.0, 7.0
060 - 12.75, 14.75, 8.75, 14.25, 23.75, 27.25, 9.75, 9.25, 14.25, 12.75
061 - 15.75, 17.75, 8.25, 11.25, 24.25, 24.25, 12.75, 6.25, 11.25, 15.75
062 - 12.75, 14.75, 8.75, 11.75, 21.25, 24.75, 9.75, 6.75, 11.75, 12.75
063 - 8.75, 10.75, 12.0, 7.75, 24.5, 20.75, 5.75, 10.0, 15.0, 16.0
064 - 14.0, 9.25, 10.0, 13.0, 22.5, 19.25, 4.25, 1.25, 6.25, 14.0
065 - 13.5, 15.5, 3.75, 6.75, 16.25, 25.5, 4.75, 7.5, 6.75, 13.5
066 - 14.25, 16.25, 10.25, 13.25, 22.75, 26.25, 11.25, 8.25, 13.25, 14.25
067 - 12.75, 12.5, 6.5, 11.75, 21.25, 22.5, 7.5, 4.5, 11.75, 12.75
068 - 9.25, 13.25, 7.25, 8.25, 19.75, 21.25, 8.25, 3.25, 8.25, 11.25
069 - 8.25, 10.25, 4.25, 7.25, 16.75, 20.25, 5.25, 2.25, 7.25, 8.25
070 - 6.5, 8.5, 3.0, 6.0, 15.0, 19.0, 4.0, 1.0, 5.5, 6.5
071 - 12.75, 14.75, 8.75, 11.75, 21.25, 24.75, 9.75, 6.75, 11.75, 12.75
072 - 14.25, 16.25, 5.25, 8.25, 22.75, 26.25, 6.25, 8.25, 8.25, 9.25
073 - 6.5, 13.75, 2.5, 5.5, 20.25, 18.5, 8.75, 5.75, 5.5, 11.75
074 - 11.5, 16.5, 10.5, 10.5, 23.0, 23.5, 11.5, 8.5, 10.5, 11.5
075 - 10.25, 12.25, 6.25, 9.0, 18.75, 22.0, 7.0, 4.0, 9.25, 10.0
076 - 8.5, 17.5, 11.5, 7.5, 24.0, 20.5, 5.5, 2.5, 14.5, 15.5
077 - 12.5, 14.5, 8.5, 11.0, 20.5, 24.0, 9.0, 6.0, 11.5, 12.5
078 - 15.5, 17.5, 11.5, 14.5, 22.0, 25.5, 10.5, 9.5, 12.5, 13.5
079 - 8.5, 10.5, 4.5, 7.5, 17.0, 20.5, 5.5, 2.5, 7.5, 8.5
080 - 11.25, 13.25, 7.25, 10.25, 19.75, 23.25, 8.25, 5.25, 10.25, 11.25
081 - 14.5, 16.5, 10.5, 13.5, 23.0, 26.5, 11.5, 8.5, 13.5, 14.5
082 - 14.0, 12.5, 10.0, 9.5, 19.0, 26.0, 7.5, 8.0, 13.0, 10.5
083 - 12.25, 15.5, 9.5, 12.5, 20.75, 25.5, 9.25, 6.25, 11.25, 13.5
084 - 10.25, 8.0, 6.25, 5.0, 14.5, 22.25, 3.0, 4.25, 9.25, 6.0
085 - 6.25, 8.25, 7.5, 10.5, 14.75, 23.5, 8.5, 0.25, 10.5, 6.25
086 - 14.75, 10.0, 10.75, 7.0, 23.25, 20.0, 11.75, 2.0, 13.75, 8.0
087 - 13.0, 15.0, 4.75, 7.75, 17.25, 25.0, 5.75, 7.0, 12.0, 8.75
088 - 11.75, 13.75, 11.25, 14.25, 23.75, 27.25, 8.75, 9.25, 10.75, 11.75
089 - 6.0, 14.75, 8.75, 11.75, 14.5, 24.75, 9.75, 0.0, 5.0, 6.0
090 - 15.5, 17.75, 11.5, 14.75, 24.0, 27.5, 12.75, 9.75, 14.5, 15.75
091 - 14.75, 16.75, 11.0, 13.75, 23.25, 27.0, 12.0, 8.75, 14.0, 15.0
092 - 9.25, 11.25, 5.25, 9.75, 19.25, 22.75, 7.75, 3.25, 8.25, 10.75
